 vencimento	historico	valor
15/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-1635,08
15/05/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-1635,08
15/06/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-1635,08
15/07/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-1635,08
14/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-152,00
14/05/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-152,00
14/06/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-152,00
17/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
17/05/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
17/06/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
17/07/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
17/08/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
17/09/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
17/10/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-214,29
20/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-2125,00
20/05/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-2125,00
20/06/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-2125,00
21/10/2026	PAGAMENTO WTW334534	-187	50
21/11/2026	PAGAMENTO WTW334534	-187	50
21/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-37500,00
21/05/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-37500,00
21/06/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-37500,00
20/07/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-2125,00
20/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/05/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/06/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/07/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/08/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/09/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/10/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/11/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/12/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/01/2027	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
20/02/2027	PAGAMENTO DIVINO ROCHA TOLEDO	-213,09
21/04/2026	PAGAMENTO WTW334534	-187,50
21/05/2026	PAGAMENTO WTW334534	-187,50
21/06/2026	PAGAMENTO WTW334534	-187,50
21/07/2026	PAGAMENTO WTW334534	-187,50
21/08/2026	PAGAMENTO WTW334534	-187,50
21/09/2026	PAGAMENTO WTW334534	-187,50
21/07/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-37500,00
22/04/2026	PAGAMENTO DIVINO ROCHA TOLEDO	-3345,00
24/06/2026	PAGAMENTO CLARO	-47,90
24/07/2026	PAGAMENTO CLARO	-47,90
24/08/2026	PAGAMENTO CLARO	-47,90
24/09/2026	PAGAMENTO CLARO	-47,90
24/10/2026	PAGAMENTO CLARO	-47,90
24/11/2026	PAGAMENTO CLARO	-47,90
24/12/2026	PAGAMENTO CLARO	-47,90
24/01/2027	PAGAMENTO CLARO	-47,90
24/02/2027	PAGAMENTO CLARO	-47,90
20/04/2026	PAGAMENTO  LINK NET PROVEDOR DE INTERNET LTDA	-70,00
